market_hash_name,base_name,wear,min_price,suggested_price,mean_price,quantity,weapon,collection,rarity,float_min,float_max,tradeup_to
AK-47 | Aquamarine Revenge (Battle-Scarred),AK-47 | Aquamarine Revenge,Battle-Scarred,25.35,32.5,43.67,18,AK-47,The Falchion Collection,Covert,0.0,1.0,
AK-47 | Aquamarine Revenge (Factory New),AK-47 | Aquamarine Revenge,Factory New,186.71,224.95,221.87,21,AK-47,The Falchion Collection,Covert,0.0,1.0,
AK-47 | Aquamarine Revenge (Field-Tested),AK-47 | Aquamarine Revenge,Field-Tested,34.76,39.66,44.37,34,AK-47,The Falchion Collection,Covert,0.0,1.0,
AK-47 | Aquamarine Revenge (Minimal Wear),AK-47 | Aquamarine Revenge,Minimal Wear,70.7,88.38,91.34,70,AK-47,The Falchion Collection,Covert,0.0,1.0,
AK-47 | Aquamarine Revenge (Well-Worn),AK-47 | Aquamarine Revenge,Well-Worn,28.35,32.77,38.46,15,AK-47,The Falchion Collection,Covert,0.0,1.0,
AK-47 | Asiimov (Battle-Scarred),AK-47 | Asiimov,Battle-Scarred,24.3,29.9,31.4,30,AK-47,The Danger Zone Collection,Covert,0.05,0.7,
AK-47 | Asiimov (Factory New),AK-47 | Asiimov,Factory New,230.0,263.55,343.69,17,AK-47,The Danger Zone Collection,Covert,0.05,0.7,
AK-47 | Asiimov (Field-Tested),AK-47 | Asiimov,Field-Tested,25.31,32.09,113.53,248,AK-47,The Danger Zone Collection,Covert,0.05,0.7,
AK-47 | Asiimov (Minimal Wear),AK-47 | Asiimov,Minimal Wear,50.0,61.97,278.51,162,AK-47,The Danger Zone Collection,Covert,0.05,0.7,
AK-47 | Asiimov (Well-Worn),AK-47 | Asiimov,Well-Worn,30.0,37.5,36.63,23,AK-47,The Danger Zone Collection,Covert,0.05,0.7,
AK-47 | B the Monster (Battle-Scarred),AK-47 | B the Monster,Battle-Scarred,112.29,126.65,185.12,10,AK-47,The Overpass 2024 Collection,Covert,0.0,0.8,
AK-47 | B the Monster (Factory New),AK-47 | B the Monster,Factory New,775.5,858.96,1010.74,9,AK-47,The Overpass 2024 Collection,Covert,0.0,0.8,
AK-47 | B the Monster (Field-Tested),AK-47 | B the Monster,Field-Tested,216.16,257.5,247.32,28,AK-47,The Overpass 2024 Collection,Covert,0.0,0.8,
AK-47 | B the Monster (Minimal Wear),AK-47 | B the Monster,Minimal Wear,340.0,390.58,529.93,40,AK-47,The Overpass 2024 Collection,Covert,0.0,0.8,
AK-47 | B the Monster (Well-Worn),AK-47 | B the Monster,Well-Worn,193.09,209.32,209.2,3,AK-47,The Overpass 2024 Collection,Covert,0.0,0.8,
AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple,Battle-Scarred,6.46,6.72,9.38,17,AK-47,The Canals Collection,Industrial Grade,0.0,1.0,Mil-Spec
AK-47 | Baroque Purple (Factory New),AK-47 | Baroque Purple,Factory New,20.0,24.52,36.56,35,AK-47,The Canals Collection,Industrial Grade,0.0,1.0,Mil-Spec
AK-47 | Baroque Purple (Field-Tested),AK-47 | Baroque Purple,Field-Tested,6.43,7.0,9.81,66,AK-47,The Canals Collection,Industrial Grade,0.0,1.0,Mil-Spec
AK-47 | Baroque Purple (Minimal Wear),AK-47 | Baroque Purple,Minimal Wear,8.18,8.35,13.53,39,AK-47,The Canals Collection,Industrial Grade,0.0,1.0,Mil-Spec
AK-47 | Baroque Purple (Well-Worn),AK-47 | Baroque Purple,Well-Worn,6.91,6.93,8.52,9,AK-47,The Canals Collection,Industrial Grade,0.0,1.0,Mil-Spec
AK-47 | Black Laminate (Battle-Scarred),AK-47 | Black Laminate,Battle-Scarred,46.32,44.12,74.1,9,AK-47,The Vertigo Collection,Mil-Spec Grade,0.06,0.8,
AK-47 | Black Laminate (Factory New),AK-47 | Black Laminate,Factory New,208.28,201.18,208.28,1,AK-47,The Vertigo Collection,Mil-Spec Grade,0.06,0.8,
AK-47 | Black Laminate (Field-Tested),AK-47 | Black Laminate,Field-Tested,40.8,52.86,124.6,38,AK-47,The Vertigo Collection,Mil-Spec Grade,0.06,0.8,
AK-47 | Black Laminate (Minimal Wear),AK-47 | Black Laminate,Minimal Wear,49.19,46.85,202.42,36,AK-47,The Vertigo Collection,Mil-Spec Grade,0.06,0.8,
AK-47 | Black Laminate (Well-Worn),AK-47 | Black Laminate,Well-Worn,47.49,42.26,551.27,6,AK-47,The Vertigo Collection,Mil-Spec Grade,0.06,0.8,
AK-47 | Bloodsport (Factory New),AK-47 | Bloodsport,Factory New,261.69,323.44,316.97,39,AK-47,The Spectrum Collection,Covert,0.0,0.45,
AK-47 | Bloodsport (Field-Tested),AK-47 | Bloodsport,Field-Tested,160.0,200.12,187.78,52,AK-47,The Spectrum Collection,Covert,0.0,0.45,
AK-47 | Bloodsport (Minimal Wear),AK-47 | Bloodsport,Minimal Wear,184.29,231.26,213.56,47,AK-47,The Spectrum Collection,Covert,0.0,0.45,
AK-47 | Bloodsport (Well-Worn),AK-47 | Bloodsport,Well-Worn,167.12,197.18,183.43,4,AK-47,The Spectrum Collection,Covert,0.0,0.45,
AK-47 | Blue Laminate (Factory New),AK-47 | Blue Laminate,Factory New,18.29,21.58,169.82,135,AK-47,The eSports 2013 Winter Collection,Restricted,0.02,0.4,Classified
AK-47 | Blue Laminate (Field-Tested),AK-47 | Blue Laminate,Field-Tested,14.43,15.85,136.36,94,AK-47,The eSports 2013 Winter Collection,Restricted,0.02,0.4,Classified
AK-47 | Blue Laminate (Minimal Wear),AK-47 | Blue Laminate,Minimal Wear,14.31,16.44,144.78,169,AK-47,The eSports 2013 Winter Collection,Restricted,0.02,0.4,Classified
AK-47 | Blue Laminate (Well-Worn),AK-47 | Blue Laminate,Well-Worn,14.78,19.99,18.33,7,AK-47,The eSports 2013 Winter Collection,Restricted,0.02,0.4,Classified
AK-47 | Cartel (Battle-Scarred),AK-47 | Cartel,Battle-Scarred,13.33,15.31,22.24,23,AK-47,The Chroma Collection,Classified,0.0,0.75,Covert
AK-47 | Cartel (Factory New),AK-47 | Cartel,Factory New,38.8,47.2,67.16,36,AK-47,The Chroma Collection,Classified,0.0,0.75,Covert
AK-47 | Cartel (Field-Tested),AK-47 | Cartel,Field-Tested,13.5,15.28,31.26,53,AK-47,The Chroma Collection,Classified,0.0,0.75,Covert
AK-47 | Cartel (Minimal Wear),AK-47 | Cartel,Minimal Wear,17.86,20.19,62.5,72,AK-47,The Chroma Collection,Classified,0.0,0.75,Covert
AK-47 | Cartel (Well-Worn),AK-47 | Cartel,Well-Worn,13.49,18.48,21.81,7,AK-47,The Chroma Collection,Classified,0.0,0.75,Covert
AK-47 | Case Hardened (Battle-Scarred),AK-47 | Case Hardened,Battle-Scarred,168.12,1368.41,700.38,20,AK-47,The Arms Deal Collection,Classified,0.0,1.0,Covert
AK-47 | Case Hardened (Factory New),AK-47 | Case Hardened,Factory New,330.02,3634.65,1674.55,33,AK-47,The Arms Deal Collection,Classified,0.0,1.0,Covert
AK-47 | Case Hardened (Field-Tested),AK-47 | Case Hardened,Field-Tested,203.14,1777.93,541.31,75,AK-47,The Arms Deal Collection,Classified,0.0,1.0,Covert
AK-47 | Case Hardened (Minimal Wear),AK-47 | Case Hardened,Minimal Wear,246.35,1973.81,879.49,112,AK-47,The Arms Deal Collection,Classified,0.0,1.0,Covert
AK-47 | Case Hardened (Well-Worn),AK-47 | Case Hardened,Well-Worn,188.0,1630.32,385.27,32,AK-47,The Arms Deal Collection,Classified,0.0,1.0,Covert
AK-47 | Crossfade (Battle-Scarred),AK-47 | Crossfade,Battle-Scarred,1.25,1.32,1.75,6,AK-47,The Graphic Design Collection,Mil-Spec Grade,0.0,0.5,
AK-47 | Crossfade (Factory New),AK-47 | Crossfade,Factory New,3.31,3.84,7.55,230,AK-47,The Graphic Design Collection,Mil-Spec Grade,0.0,0.5,
AK-47 | Crossfade (Field-Tested),AK-47 | Crossfade,Field-Tested,1.39,1.61,4.0,266,AK-47,The Graphic Design Collection,Mil-Spec Grade,0.0,0.5,
AK-47 | Crossfade (Minimal Wear),AK-47 | Crossfade,Minimal Wear,1.88,2.22,4.84,115,AK-47,The Graphic Design Collection,Mil-Spec Grade,0.0,0.5,
AK-47 | Crossfade (Well-Worn),AK-47 | Crossfade,Well-Worn,1.46,1.85,2.4,23,AK-47,The Graphic Design Collection,Mil-Spec Grade,0.0,0.5,
AK-47 | Elite Build (Battle-Scarred),AK-47 | Elite Build,Battle-Scarred,0.82,0.98,4.32,215,AK-47,The Chroma 2 Collection,Mil-Spec Grade,0.0,1.0,
AK-47 | Elite Build (Factory New),AK-47 | Elite Build,Factory New,7.76,7.49,24.3,85,AK-47,The Chroma 2 Collection,Mil-Spec Grade,0.0,1.0,
AK-47 | Elite Build (Field-Tested),AK-47 | Elite Build,Field-Tested,1.16,1.53,6.39,430,AK-47,The Chroma 2 Collection,Mil-Spec Grade,0.0,1.0,
AK-47 | Elite Build (Minimal Wear),AK-47 | Elite Build,Minimal Wear,1.82,2.44,8.44,282,AK-47,The Chroma 2 Collection,Mil-Spec Grade,0.0,1.0,
AK-47 | Elite Build (Well-Worn),AK-47 | Elite Build,Well-Worn,0.8,1.07,5.02,392,AK-47,The Chroma 2 Collection,Mil-Spec Grade,0.0,1.0,
AK-47 | Emerald Pinstripe (Battle-Scarred),AK-47 | Emerald Pinstripe,Battle-Scarred,2.22,2.58,8.89,42,AK-47,The Bank Collection,Restricted,0.0,1.0,Classified
