ROI,Expected Value,Cost,Input Skins,Output Breakdown
240.66%,£406.95,£169.10,"[['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)]]",AWP | LongDog (Battle-Scarred) @ 0.7250 (100.00%) → £406.95
240.66%,£406.95,£169.10,"[['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)]]",AWP | LongDog (Battle-Scarred) @ 0.7250 (100.00%) → £406.95
240.66%,£406.95,£169.10,"[['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)]]",AWP | LongDog (Battle-Scarred) @ 0.7250 (100.00%) → £406.95
240.66%,£406.95,£169.10,"[['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)]]",AWP | LongDog (Battle-Scarred) @ 0.7250 (100.00%) → £406.95
240.66%,£406.95,£169.10,"[['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)], ['M4A4 | Hellish (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(16.91)]]",AWP | LongDog (Battle-Scarred) @ 0.7250 (100.00%) → £406.95
239.38%,£406.95,£170.00,"[['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)]]",AWP | LongDog (Battle-Scarred) @ 0.7250 (100.00%) → £406.95
239.38%,£406.95,£170.00,"[['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)]]",AWP | LongDog (Battle-Scarred) @ 0.7250 (100.00%) → £406.95
239.38%,£406.95,£170.00,"[['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)]]",AWP | LongDog (Battle-Scarred) @ 0.7250 (100.00%) → £406.95
239.38%,£406.95,£170.00,"[['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)]]",AWP | LongDog (Battle-Scarred) @ 0.7250 (100.00%) → £406.95
239.38%,£406.95,£170.00,"[['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)], ['MP9 | Latte Rush (Battle-Scarred)', 'The Train 2025 Collection', 'Classified', 0.725, np.float64(17.0)]]",AWP | LongDog (Battle-Scarred) @ 0.7250 (100.00%) → £406.95
