market_hash_name,base_name,wear,min_price,suggested_price,mean_price,quantity
M4A4 | Howl (Factory New),M4A4 | Howl,Factory New,6979.61,8513.21,8545.66,3
M4A4 | Howl (Field-Tested),M4A4 | Howl,Field-Tested,4190.35,5042.14,4362.65,6
M4A4 | Howl (Minimal Wear),M4A4 | Howl,Minimal Wear,5342.42,6221.01,5746.7,5
M4A4 | Howl (Well-Worn),M4A4 | Howl,Well-Worn,,4866.51,,0
M4A4 | 龍王 (Dragon King) (Battle-Scarred),M4A4 | 龍王,Battle-Scarred,10.15,11.49,13.2,8
M4A4 | 龍王 (Dragon King) (Factory New),M4A4 | 龍王,Factory New,39.89,46.23,96.1,26
M4A4 | 龍王 (Dragon King) (Field-Tested),M4A4 | 龍王,Field-Tested,9.53,10.95,15.04,98
M4A4 | 龍王 (Dragon King) (Minimal Wear),M4A4 | 龍王,Minimal Wear,14.69,16.91,23.22,84
M4A4 | 龍王 (Dragon King) (Well-Worn),M4A4 | 龍王,Well-Worn,11.49,10.94,15.8,2
Souvenir AK-47 | Black Laminate (Battle-Scarred),Souvenir AK-47 | Black Laminate,Battle-Scarred,,39.14,,0
Souvenir AK-47 | Black Laminate (Factory New),Souvenir AK-47 | Black Laminate,Factory New,550.0,636.08,704.0,3
Souvenir AK-47 | Black Laminate (Field-Tested),Souvenir AK-47 | Black Laminate,Field-Tested,70.84,37.66,132.07,6
Souvenir AK-47 | Black Laminate (Minimal Wear),Souvenir AK-47 | Black Laminate,Minimal Wear,70.9,56.58,103.69,2
Souvenir AK-47 | Black Laminate (Well-Worn),Souvenir AK-47 | Black Laminate,Well-Worn,47.6,39.11,47.6,1
Souvenir AK-47 | Gold Arabesque (Battle-Scarred),Souvenir AK-47 | Gold Arabesque,Battle-Scarred,1628.03,1696.14,1628.03,1
Souvenir AK-47 | Gold Arabesque (Factory New),Souvenir AK-47 | Gold Arabesque,Factory New,4590.99,5465.93,4590.99,1
Souvenir AK-47 | Gold Arabesque (Field-Tested),Souvenir AK-47 | Gold Arabesque,Field-Tested,1950.0,2350.01,1950.0,1
Souvenir AK-47 | Gold Arabesque (Minimal Wear),Souvenir AK-47 | Gold Arabesque,Minimal Wear,2756.51,3239.55,2857.77,2
Souvenir AK-47 | Gold Arabesque (Well-Worn),Souvenir AK-47 | Gold Arabesque,Well-Worn,,1947.43,,0
Souvenir AK-47 | Green Laminate (Factory New),Souvenir AK-47 | Green Laminate,Factory New,29.18,29.13,48.78,9
Souvenir AK-47 | Green Laminate (Field-Tested),Souvenir AK-47 | Green Laminate,Field-Tested,15.65,14.37,27.54,15
Souvenir AK-47 | Green Laminate (Minimal Wear),Souvenir AK-47 | Green Laminate,Minimal Wear,12.87,16.5,29.9,34
Souvenir AK-47 | Green Laminate (Well-Worn),Souvenir AK-47 | Green Laminate,Well-Worn,33.91,25.47,51.66,4
Souvenir AK-47 | Panthera onca (Battle-Scarred),Souvenir AK-47 | Panthera onca,Battle-Scarred,,127.52,,0
Souvenir AK-47 | Panthera onca (Factory New),Souvenir AK-47 | Panthera onca,Factory New,849.0,555.31,976.74,3
Souvenir AK-47 | Panthera onca (Field-Tested),Souvenir AK-47 | Panthera onca,Field-Tested,137.6,162.7,197.67,6
Souvenir AK-47 | Panthera onca (Minimal Wear),Souvenir AK-47 | Panthera onca,Minimal Wear,,240.31,,0
Souvenir AK-47 | Panthera onca (Well-Worn),Souvenir AK-47 | Panthera onca,Well-Worn,121.04,135.6,139.02,4
Souvenir AK-47 | Safari Mesh (Battle-Scarred),Souvenir AK-47 | Safari Mesh,Battle-Scarred,18.0,12.63,146.17,3
Souvenir AK-47 | Safari Mesh (Factory New),Souvenir AK-47 | Safari Mesh,Factory New,349.0,250.23,349.0,1
Souvenir AK-47 | Safari Mesh (Field-Tested),Souvenir AK-47 | Safari Mesh,Field-Tested,9.41,12.42,83.5,25
Souvenir AK-47 | Safari Mesh (Minimal Wear),Souvenir AK-47 | Safari Mesh,Minimal Wear,18.14,20.39,252.78,10
Souvenir AK-47 | Safari Mesh (Well-Worn),Souvenir AK-47 | Safari Mesh,Well-Worn,22.93,12.79,29.0,2
Souvenir AK-47 | Safety Net (Battle-Scarred),Souvenir AK-47 | Safety Net,Battle-Scarred,,18.58,,0
Souvenir AK-47 | Safety Net (Factory New),Souvenir AK-47 | Safety Net,Factory New,55.44,64.58,72.95,6
Souvenir AK-47 | Safety Net (Field-Tested),Souvenir AK-47 | Safety Net,Field-Tested,18.12,17.97,23.97,7
